SMP	Time
20	400.74
20	448.52
21	4.8
21	7.45
21	9.82
21	10.63
21	12.12
21	24.23
21	28.04
21	36
21	38.45
21	43.85
21	89.26
21	114.62
21	130.88
21	132.69
21	137.06
21	146.3
21	153.91
21	167.51
21	199.37
21	199.49
21	200.9
21	214.02
21	214.6
21	224.19
21	244.96
21	250.35
21	272.87
21	284.55
21	324.05
21	378.26
21	397.1
21	402.24
22	24.22
22	25.49
22	31.24
22	61.98
22	84.32
22	87.34
22	122.86
22	140.59
22	185.39
22	189.66
22	224.16
22	246.84
22	338.9
22	344.35
22	369.57
22	381.26
22	394.7
22	403.89
22	424.43
23	14.61
23	24.4
23	45
23	58.31
23	73.57
23	106.29
23	194.06
23	215.43
23	221.15
23	230.38
23	263.93
23	265.72
23	298.25
23	303.26
23	344.48
23	365.01
23	376.42
23	380.24
23	434.89
24	0.1
24	3.72
24	27.91
24	30.03
24	34.59
24	37.76
24	48.28
24	75.48
24	83.02
24	83.64
24	89.8
24	111.75
24	112.89
24	122.19
24	133.97
24	145.4
24	207.39
24	263.17
24	276.59
24	307.37
24	333.2
24	336.08
24	369.71
24	390.81
25	6.68
25	14.12
25	19.22
25	20.93
25	26.03
25	32.6
25	35.41
25	37.8
25	59.37
25	60.69
25	89.44
25	91.75
25	95.43
25	104.09
25	108.96
25	112.88
25	118.78
25	119.29
25	167.34
25	184.54
25	198.7
25	200.95
25	235.06
25	249.52
25	254.19
25	277.33
25	310.21
25	348.91
25	349.79
25	351.21
25	399.84
25	431.59
25	446.07
25	448.45
26	1.01
26	2.41
26	15.58
26	16.27
26	24.68
26	41.27
26	43.96
26	46.69
26	54.43
26	71.69
26	71.98
26	82.8
26	98.32
26	119.42
26	135.33
26	163.09
26	166.02
26	178.62
26	185.04
26	203.25
26	205.56
26	237.75
26	243.09
26	305.73
26	341.17
26	346.88
26	352.93
26	358.92
26	378.8
26	390.15
26	404.6
26	411.75
26	419.16
26	422.22
26	437.56
26	444.36
26	445.2
27	4.08
27	18.52
27	23.22
27	36.52
27	54.49
27	84.4
27	90.44
27	105.16
27	154.22
27	173.99
27	178.13
27	207.8
27	210.3
27	211.41
27	244.14
27	255.32
27	257.74
27	265.89
27	268.74
27	271.35
27	280.2
27	302.76
27	355.92
27	359.47
27	370.24
27	371.32
27	391.32
27	419.83
27	424.6
28	1.09
28	23.28
28	29.31
28	34.06
28	70.2
28	81.51
28	84.48
28	103.78
28	114.67
28	161.57
28	201.24
28	244.7
28	252.16
28	315.38
28	349.36
28	358.17
28	364.85
28	374.97
28	430.41
28	432.36
28	449.44
29	9.47
29	10.99
29	77.32
29	83.53
29	96.42
29	97.49
29	142.79
29	165.45
29	179.13
29	195.31
29	196.67
29	205.24
29	222.18
29	243.44
29	247.05
29	252.24
29	281.95
29	293.6
29	310.4
29	335.2
29	430.02
29	453.96
30	19.56
30	27.34
30	33.87
30	60.21
30	60.66
30	71.31
30	123.22
30	138.68
30	145.64
30	152.48
30	163.88
30	208.29
30	244.21
30	316.24
30	327.91
30	361.54
30	392.95
30	409.86
30	414.46
30	416.83
30	422.1
30	435.33
30	436.37
30	447.43
31	3.86
31	3.95
31	8.38
31	10.01
31	15.83
31	21.05
31	38.44
31	56.93
31	60.93
31	68.7
31	92.21
31	93.23
31	143.64
31	156.27
31	189.08
31	211.22
31	214.72
31	232.72
31	234.53
31	247.44
31	281.64
31	302.46
31	368.82
31	373.13
31	389.31
31	433.16
32	10.18
32	14.98
32	43.82
32	58.23
32	65.66
32	68.26
32	72.06
32	91.74
32	102.63
32	126.19
32	143.71
32	169.95
32	180.48
32	234.46
32	242.24
32	267.69
32	286.16
32	299.25
32	301.67
32	316.69
32	335.71
32	379.36
32	384.61
32	428.16
32	432.78
33	0.83
33	23.45
33	30.19
33	35.96
33	54.6
33	63.37
33	80.97
33	114.49
33	131.13
33	207.48
33	245.51
33	289.81
33	339.13
33	357.8
33	364.81
33	419.67
34	1.99
34	4.52
34	13.66
34	16.61
34	25.15
34	26.46
34	29.01
34	40.52
34	40.93
34	47.37
34	66.49
34	81.76
34	108.95
34	142.63
34	187.67
34	197.68
34	204.68
34	251.43
34	287.77
34	290.99
34	333.57
34	399.2
34	402.03
34	412.32
34	430.59
34	436.84
34	442.42
35	2.91
35	15.07
35	17.04
35	24.81
35	38.56
35	67.47
35	72.17
35	100.91
35	155.78
35	156.71
35	238.59
35	244.13
35	267.37
35	277.54
35	294.7
35	300.23
35	305.4
35	312.98
35	323.06
35	375.52
35	388.411
35	396.05
36	1.87
36	3.96
36	7.81
36	12.78
36	19.28
36	27.08
36	32.64
36	41.23
36	67.6
36	71.06
36	71.42
36	82.88
36	96.46
36	152.69
36	199.12
36	243.67
36	248.64
36	253.94
36	263.35
36	264.97
36	278.58
36	279.46
36	335.86
36	382.17
36	414.88
36	421.7
36	436.04
36	438.7
37	7.63
37	8.35
37	29.85
37	97.91
37	223.65
37	259.71
37	300.88
37	307.31
37	353.61
37	407.32
37	444.93
38	0.16
38	5.26
38	11.01
38	25.961
38	33.88
38	46.37
38	76.2
38	79.8
38	88.94
38	96.32
38	114.08
38	184.72
38	206.83
38	222.5
38	247.79
39	40.43
39	1.34
39	9.39
39	23.38
39	32.36
39	38.44
39	53.15
39	74.301
39	93.48
39	101.95
39	116.27
39	118.86
39	126.89
39	133.28
39	135.64
39	139.69
39	166.89
39	197.56
39	207.67
39	215.89
39	217.44
39	237.65
39	276.59
39	338.95
39	363.96
39	401.752
39	405.97
39	452.58
40	2.25
40	5.06
40	21.65
40	26.52
40	44.52
40	79
40	97.32
40	111.98
40	131.35
40	188.1
40	209.57
40	217.3
40	254.68
40	310.35
40	320.9
40	326.93
40	332.91
40	374.47
40	396.85
40	401.51
40	415.36
40	418.95
40	420.13
40	447.88
41	4.61
41	13.53
41	15.43
41	19.28
41	20.09
41	30.42
41	41.18
41	51.01
41	52.93
41	82.89
41	98.87
41	106.41
41	154.46
41	157.11
41	163.23
41	166.06
41	233.07
41	242.28
41	303.52
41	340.23
41	380.67
41	382.28
41	394.17
41	408.6
41	442.35
41	456.1
42	7.88
42	14.63
42	29.11
42	31.13
42	47.18
42	50.77
42	57.64
42	90.29
42	101.85
42	121.98
42	123.02
42	169.67
42	192.55
42	220.77
42	232.55
42	287.42
42	300.4
42	306.34
42	306.72
42	355.14
42	403.39
42	449.62
43	4.78
43	10.71
43	28.92
43	35.77
43	39.97
43	41.47
43	59.71
43	64.34
43	67.01
43	74.47
43	107.91
43	174.62
43	182.04
43	189.98
43	223.53
43	224.57
43	270.58
43	280.91
43	316.45
43	321.99
43	361.63
43	429.61
43	441.27
44	11.53
44	34.18
44	48.81
44	66.12
44	92.63
44	106.22
44	135.86
44	144.09
44	173.37
44	196.6
44	199.46
44	205.31
44	221.45
44	228.07
44	233.43
44	251.18
44	271.68
44	274.24
44	284.63
44	320.86
44	353.8
44	367.24
44	386.66
44	397.75
44	404.77
44	422.52
44	425.94
44	444.8
45	0.01
45	9.62
45	46.58
45	59.46
45	64.51
45	81.31
45	109.5
45	145.06
45	172.69
45	200.09
45	282.49
45	327.92
45	352.72
45	357.66
45	396.49
45	421.8
45	446.03
46	60.69
46	83.15
46	102.36
46	142.44
46	148.28
46	153.07
46	251.35
46	253.7
46	255.91
46	264.82
